지역,센터명,주소,전화번호_1,홈페이지
대구,대구광역시청소년상담복지센터,(41934) 대구광역시 중구 중앙대로 81길 66-5 대구청소년지원재단 3층,053-659-6240,www.daeguyouth.net
대구,대구중구청소년상담복지센터,(41919) 대구광역시 중구 국채보상로 541 8층,053-423-1377,http://www.ymca1388.or.kr/ 
대구,대구동구청소년상담복지센터,(41155) 대구광역시 동구 동촌로 16길 20 아인빌딩 2층,053-984-1319,http://www.dg1388.or.kr
대구,대구서구청소년상담복지센터,(41770) 대구광역시 서구 서대구로222 3층,053-562-1388,www.seoguc8310.or.kr 
대구,대구남구청소년상담복지센터,(42410) 대구광역시 남구 중앙대로 49길 25 2층,053-624-0996,www.dng1388.or.kr
대구,대구북구청소년상담복지센터,(41439) 대구광역시 북구 칠곡중앙대로561 읍내동행정복지센터 3층,053-324-1388,www.teen1388.or.kr
대구,수성구청소년상담복지센터,(42027) 대구광역시 수성구 달구벌대로 2451 범어도서관 5층,053-759-1388,http://ss1388.suseong.kr 
대구,달서구청소년상담복지센터,(42726) 대구광역시 달서구 학산로 7길 39 (월성동),053-638-1388,www.dalbi1388.or.kr
대구,대구달성군청소년상담복지센터,(43017) 대구광역시 달성군 현풍읍 테크노중앙대로 231,053-614-1388,http://www.ds1388.or.kr/ds1388/
대구,군위군청소년상담복지센터,(43113) 대구광역시 군위군 군위읍 군청로 158 군위국민체육센터 3층 ,054-382-1388,http://www.gunwi.go.kr/ko/page.do?mnu_uid=312&
인천,인천광역시청소년상담복지센터,(22573) 인천광역시 동구 박문로 1. 인천교구 가톨릭청소년센터 1층,032-429-0394,www.inyouth.or.kr
인천,인천중구청소년상담복지센터,"(22408) 인천광역시 중구 송산로 52, 중구청소년수련관 1층",032-773-1317,www.junggu1388.kr
인천,인천중구동인천청소년상담복지센터,"(22309) 인천광역시 중구 참외전로72번길 25, 동인천동 행정복지센터 3층",032-747-1318,www.junggu1388.kr
인천,인천동구청소년상담복지센터,"(22556) 인천광역시 동구 송림로 80, 4층",032-777-1388,www.dream1388.or.kr
인천,인천미추홀구청소년상담복지센터,(22136) 인천광역시 미추홀구 주안로82(주안1동 232-3) 청소년미디어센터 5층,032-862-4877,www.michu1388.or.kr
인천,연수구청소년상담복지센터,(21936) 인천광역시 연수구 원인재로 283 연수3동 주민센터 4층        ,032-818-0358,www.ysyouth.or.kr
인천,남동구청소년상담복지센터,(21589) 인천광역시 남동구 소래로 645 남동구평생학습관 2층,032-468-1388,http://nd1388.or.kr
인천,부평구청소년상담복지센터,"(21303) 인천광역시 부평구 산청로 129, 2층",032-509-8916,http://portal.icbp.go.kr/1388/
인천,계양구청소년상담복지센터,"(21109) 인천광역시 계양구 봉오대로 600번길 20, 2층",032-547-0855,www.gyeyang1388.or.kr
인천,인천서구청소년상담복지센터,(22819) 인천광역시 서구 원적로 7번길 12 가좌청소년센터 2층 ,032-584-1386,www.sg1388.or.kr
인천,강화군청소년상담복지센터,"(23033) 인천광역시 강화군 강화읍 향나무길 22번길 30-1, 2층",032-932-1388,ghycw.ganghwa.go.kr
광주,광주광역시청소년상담복지센터,"(62024) 광주광역시 서구 학생독립로 37, 광주광역시청소년수련원 D동 3층",062-226-8181,www.gj1388.or.kr
광주,광주동구청소년상담복지센터,(61482) 광주광역시 동구 금남로 246 광주 YMCA 3층,062-229-3308,www.dg1388.com
광주,광주서구청소년상담복지센터,(61966) 광주광역시 서구 상무오월로 23(쌍촌동) 3층,062-375-1388,www.happy1388.com
광주,광주남구청소년상담복지센터,(61727) 광주광역시 남구 서문대로 693,062-675-1388,www.1388namgu.or.kr
광주,광주북구청소년상담복지센터,"(61132) 광주광역시 북구 대천로 86, 북구청소년수련관 1층 (문흥동 1009-1)",062-251-1388,www.ok1388.kr
광주,광산구청소년상담복지센터,(62363) 광주광역시 광산구 무진대로 246-7 2층,062-943-1388,www.gsg1388.or.kr 
대전,대전광역시청소년상담복지센터,(34630) 대전광역시 동구 대전천동로 508 6층,042-252-6577,www.dj1388.or.kr
대전,대전서구청소년상담복지센터,"(35223) 대전광역시 서구 월평로 71(월평동, 태호빌딩) 3층",042-527-1112,http://www.sgy1388.or.kr
대전,유성구청소년상담복지센터,(34097) 대전광역시 유성구 북유성대로 158 유성구청소년수련관 3층,042-824-3454,counsel.happyyc1318.or.kr
울산,울산광역시청소년상담복지센터,"(44532) 울산광역시 중구 강북로 105 상가동 2층 (성남동, 롯데캐슬스카이)",052-227-2000,www.counteen.or.kr
울산,울산남구청소년상담복지센터,(44692) 울산광역시 남구 돋질로106 마이코즈건물 3층,052-291-1388,http://www.micos1388.or.kr
울산,울산동구청소년상담복지센터,"(44070) 울산광역시 동구 대학길 59, 3층",052-233-5279,www.friend5279.or.kr
울산,울산북구청소년상담복지센터,(44224) 울산광역시 북구 제내1길 6 복음빌딩 4층,052-283-1388,www.bukgu1388.or.kr
울산,울주군청소년상담복지센터,"(45001) 울산광역시 울주군 온산읍 덕신로 299, 온산읍행정복지타운 6층",052-263-1388,www.ulju1388.or.kr
울산,울주군중부청소년상담복지센터,(44920) 울산광역시 울주군 범서읍 구영로 101-20 울주중부청소년수련관 내 3층,052-229-9652,www.ulju1388.or.kr
세종,세종특별자치시청소년상담복지센터,(30024) 세종특별자치시 조치원읍 새내로 108 2층 ,044-867-2022,www.sj1388.or.kr
경기,경기도청소년상담복지센터,(16305) 경기도 수원시 장안구 송원로 55 행정동우회관 1층 ,031-248-1318,www.hi1318.or.kr
경기,수원시청소년상담복지센터,(16486) 경기도 수원시 팔달구 권광로 293 수원시청소년재단 희망등대센터 3층,031-212-1318,http://www.syf.or.kr
경기,성남시청소년상담복지센터,(13438) 경기도 성남시 중원구 성남대로 997번길 7(금담빌딩) 4층,031-756-1388,http://www.snyouth.or.kr/sn1388 
경기,의정부시청소년상담복지센터,(11622) 경기도 의정부시 의정로 27 청소년수련관 3층,031-872-1388,www.uiyouth.or.kr
경기,안양시청소년상담복지센터,(13997) 경기도 안양시 만안구 안양로 263번길 31,031-446-0242,www.ayf.or.kr/1388
경기,부천시청소년상담복지센터,(14596) 경기도 부천시 원미구 장말로 107 복사골문화센터 301호,032-325-3002,www.zzang1318.or.kr
경기,광명시청소년상담복지센터,(14241) 경기도 광명시 디지털 34 철산별관 노둣돌 1호동 1층,02-809-2000,https://www.gmyouth.org/
경기,평택시청소년상담복지센터,(17903) 경기도 평택시 평남로 616 청소년문화센터 4층,031-656-1383,www.pt1318.or.kr
경기,동두천시청소년상담복지센터,(11362) 경기도 동두천시 지행로 95 청소년수련관 3층,031-861-1388,http://1388.tistory.com
경기,안산시청소년상담복지센터,(15387) 경기도 안산시 단원구 원초로 76 4층,031-414-1318,www.aycc.org
경기,고양시청소년상담복지센터,(10512) 경기도 고양시 덕양구 중앙로 633번길 25 토당청소년수련관 2층,031-995-4269,https://www.gcyf.or.kr/sb
경기,과천시청소년상담복지센터,(13828) 경기도 과천시 참마을로 9 과천시청소년수련관 1층,02-504-1388,www.gc1318.or.kr
경기,구리시청소년상담복지센터,(11922) 경기도 구리시 건원대로 34번길 32-10 구리시청소년수련관 3층 ,031-557-2000,http://guri1388.or.kr/mall/main.php
경기,남양주시청소년상담복지센터,(12244) 경기도 남양주시 다산지금로 51-47 남양주시청소년수련관 2층,031-590-8098,https://www.nyj.go.kr/main/1
경기,오산시청소년상담복지센터,(18136) 경기도 오산시 오산로 278번길 3 2층 (오산동),031-372-4004,www.osan1318.or.kr
경기,시흥시청소년상담복지센터,(14914) 경기도 시흥시 은행로 179 시흥시청소년수련관 별관 1층,031-318-7100,www.shyc.or.kr
경기,시흥시정왕청소년상담복지센터,(15049) 경기도 시흥시 오동마을로 33 3층(금광빌딩),031-318-7101,www.shyc.or.kr
경기,군포시청소년상담복지센터,"(15823) 경기도 군포시 수리산로 112 슬기관 2층(산본동, 수리산상상마을)",031-397-1388,www.gp1318.or.kr
경기,의왕시청소년상담복지센터,(16077) 경기도 의왕시 문화공원로 33 3층,031-452-1388,https://www.uyf.or.kr/uw1388/388
경기,하남시청소년상담복지센터,(12919) 경기도 하남시 조정대로111(풍산동) 하남시청소년수련관 2층,031-790-6680,www.hanam.go.kr
경기,용인시청소년상담복지센터,(17019) 경기도 용인시 처인구 중부대로 1199 청소년수련관 4층,031-324-9300,www.yiyf.or.kr
경기,파주시청소년상담복지센터,(10894) 경기도 파주시 와석순환로 415 운정행복센터 6층,031-540-5321,www.pajuyouth.or.kr
경기,이천시청소년상담복지센터,(17371) 경기도 이천시 영창로 260 서희청소년문화센터 3층,031-634-2777,www.ic1318.or.kr
경기,안성시청소년상담복지센터,(17591) 경기도 안성시 낙원길 108 안성시청소년문화의집 2층 (낙원동),031-676-1318(내선1),www.an1318.or.kr
경기,김포시청소년상담복지센터,(10099) 경기도 김포시 걸포로 76 중봉청소년수련관 2층,031-984-1388,https://www.fgy.or.kr/ssac1388
경기,화성시청소년상담복지센터,(18732) 경기도 화성시 태안로 145 유앤아이센터 2층(병점동),031-225-1318,www.mars1318.or.kr
경기,광주시청소년상담복지센터,(12779) 경기도 광주시 회안대로 350-17 청소년수련관 3층,031-761-1389,www.ggj1388.or.kr/
경기,양주시청소년상담복지센터,(11469) 경기도 양주시 옥정서로254 옥정3단지 내 행복플러스어린이집 2층,031-858-1318,https://www.yangju.go.kr/yj1318/index.do
경기,포천시청소년상담복지센터,(11184) 경기도 포천시 소흘읍 호국로 523번길 59-56 청소년교육문화센터 내 2층,031-533-1318, http://www.pocheon.go.kr/counsel/index.do
경기,여주시청소년상담복지센터,(12623) 경기도 여주시 청심로 88 3층,031-886-0544,youth.yeoju.go.kr
경기,연천군청소년상담복지센터,(11026) 경기도 연천군 전곡읍 전영로 11 연천군종합복지관 내 2층,031-832-4452,www.yc1388.or.kr
경기,가평군청소년상담복지센터,"(12452) 경기도 가평군 청평면 은고개로 39, 1층 가평군청소년상담복지센터",031-581-0397,www.gp1318.com
경기,양평군청소년상담복지센터,(12556) 경기도 양평군 양평읍 중앙로 33-1 3층,031-775-1318,https://www.yp21.go.kr/www/contents.do?key=2182
강원,강원도청소년상담복지센터,(24270) 강원도 춘천시 중앙로 14,033-256-9803,www.gycc.org
강원,춘천시청소년상담복지센터,(24400) 강원도 춘천시 동내면 외솔길 19번길 45,033-818-1388,http://www.cool1388.com/
강원,원주시청소년상담복지센터,(26475) 강원도 원주시 서원대로 234 원주시청소년수련관 이음관 2층,033-744-1388,www.wonju1388.kr
강원,강릉시청소년상담복지센터,(25474) 강원도 강릉시 종합운동장길 72-21 강릉시청소년수련관 2층,033-655-1388,www.gn1388.or.kr 
강원,동해시청소년상담복지센터,(25735) 강원도 동해시 부곡1길 6,033-530-2198,http://www.dhyc.or.kr/counsel/04.htm
강원,태백시청소년상담복지센터,(26044) 강원도 태백시 태백로 1663 (문곡동),033-582-1377,www.tb1388.kr
강원,속초시청소년상담복지센터,(24867) 강원도 속초시 관광로 377,033-638-1388,www.sokcho1388.org
강원,삼척시청소년상담복지센터,(25919) 강원도 삼척시 엑스포로 50-1 3층,033-575-5002~3,http://scc1388.co.kr/
강원,홍천군청소년상담복지센터,(25131) 강원도 홍천군 홍천읍 산림공원 2길 31 청소년수련관 2층,033-433-1386,www.hcyc1388.org
강원,횡성군청소년상담복지센터,(25236) 강원도 횡성군 횡성읍 문예로 75 청소년수련관,033-344-1388,http://hsg1388.modoo.at
강원,영월군청소년상담복지센터,(26237) 강원도 영월군 영월읍 제방안길 100,033-375-1318,www.kyw1318.or.kr
강원,평창군청소년상담복지센터,(25377) 평창군 평창읍 종부로 61 3층,033-335-1388,http://www.pc1388.or.kr
강원,정선군청소년상담복지센터,(26150) 강원도 정선군 사북읍 사북 6길 12-6,033-591-1313,http://www.jsyouth.or.kr/
강원,철원군청소년상담복지센터,(24037) 강원도 철원군 갈말읍 명성로 139번길 52,033-452-2000,http://youth.cwg.go.kr/site/youth/sub.do?key=2872
충북,충청북도청소년상담복지센터,(28516) 충청북도 청주시 상당구 대성로 103(문화동 69-1),043-258-2000,http://1388.cbyouth.net
충북,청주시청소년상담복지센터,(28543) 충청북도 청주시 상당구 중앙로 30 청하빌딩 5층,043-275-1388,www.cj1388.or.kr
충북,서청주청소년상담복지센터,(28436) 충청북도 청주시 흥덕구 직지대로 351번길 56 청주시청소년수련관 3층,043-297-1388,http://www.1388cw.or.kr/
충북,충주시청소년상담복지센터,(27411) 충청북도 충주시 중원대로 3324 ,043-842-2007,www.chungstar.org
충북,제천시청소년상담복지센터,(27152) 충청북도 제천시 의림대로264 비둘기상가A동 2층,043-642-7949,www.jc1318.or.kr
충북,보은군청소년상담복지센터,(28940) 충청북도 보은군 보은읍 군청길 114,043-542-1388,www.boeun1388.or.kr
충북,옥천군청소년상담복지센터,(29040) 충청북도 옥천군 옥천읍 동부로 39 청소년수련관 1층,043-731-1388,www.oc.go.kr/youth/index.do
충북,영동군청소년상담복지센터,(29149) 충청북도 영동군 영동읍 성안길8 청소년수련관 2층,043-744-5700,www.yd1388.or.kr
충북,증평군청소년상담복지센터,(27948) 충청북도 증평군 증평읍 보건복지로 64-2,043-835-4188,www.jp1388.or.kr
충북,진천군청소년상담복지센터,(27832) 충청북도 진천군 진천읍 포석길 37-10 청소년수련관 4층,043-536-3430,jc1388.co.kr
충북,괴산군청소년상담복지센터,(28035) 충청북도 괴산군 괴산읍 읍내로6길 20-9,043-834-7943,http://www.goesan1388.or.kr 
충북,음성군청소년상담복지센터,"(27697) 충청북도 음성군 음성읍 문화1길 10-3, 2층",043-873-1318,www.es1388.or.kr
충북,단양군청소년상담복지센터,(27012) 충청북도 단양군 단양읍 삼봉로 187-18 단양군청소년수련관 2층,043-421-8370~1,www.danyang.go.kr/dy1388
충남,충청남도청소년상담복지센터,"(31100) 충청남도 천안시 서북구 서부대로 766 3~4층(두정동, 진암빌딩)",041-554-2130,http://cnyouth.or.kr
충남,천안시청소년상담복지센터,(31129) 충청남도 천안시 동남구 은행길 15-1 도시창조두드림센터 4층,041-622-1388,www.cheonan.go.kr/teen.do 
충남,공주시청소년상담복지센터,(32546) 충청남도 공주시 대통 1길 57,041-856-1388,http://www.gj1318.or.kr
충남,보령시청소년상담복지센터,(33466) 충청남도 보령시 문화원길 9 보령시청소년문화의집 3층,041-936-5710,www.dongmuya.or.kr
충남,아산시청소년상담복지센터,(31513) 충청남도 아산시 시장길 29 시민문화복지센터 303호,041-532-2000,http://www.asanyouth.or.kr
충남,서산시청소년상담복지센터,(31967) 충청남도 서산시 서령로136 서산문화복지센터 청소년수련관 3층,041-669-2000,www.haemaum.com
충남,논산시청소년상담복지센터,(32993) 충청남도 논산시 논산대로 424 논산시청소년수련관 1층,041-736-2041,https://www.nsyouth.or.kr/kr/
충남,계룡시청소년상담복지센터,"(32801) 충청남도 계룡시 신도안면 송정길 174, 2층",042-551-1318,http://www.call1388.or.kr
충남,당진시청소년상담복지센터,(31772) 충청남도 당진시 무수동 7길 142-26,041-357-2000,http://www.dangjin.go.kr/dj1388.do
충남,금산군청소년상담복지센터,(32726) 충청남도 금산군 금산읍 금산로1559 다락원 만남의 집 3층,041-751-2007,www.gs1388.or.kr
충남,부여군청소년상담복지센터,(33149) 충청남도 부여군 부여읍 의열로 43,041-836-1898,www.1388buyeo.or.kr/
충남,서천군청소년상담복지센터,(33644) 충청남도 서천군 서천읍 서천향교길 3 2층,041-953-4040,www.sycw1388.co.kr
충남,청양군청소년상담복지센터,(33339) 충청남도 청양군 청양읍 문화예술로187 청소년문화의집 3층,041-942-1388,www.cy1388.kr
충남,홍성군청소년상담복지센터,(32293) 충청남도 홍성군 광천읍 홍남로 744번길 14,041-634-4858,www.hssd1388.com
충남,예산군청소년상담복지센터,(32423) 충청남도 예산군 예산읍 벚꽃로 214 예산군청소년수련관 2층 ,041-335-1388,www.yesanyouth.or.kr
충남,태안군청소년상담복지센터,(32140) 충청남도 태안군 태안읍 백화로 199 청소년수련관 1층,041-674-2800,www.happy1388.or.kr
전북,전라북도청소년상담복지센터,(54935) 전라북도 전주시 덕진구 팔달로 346,063-276-6291,www.jb1388.kr
전북,전주시청소년상담복지센터,(55081) 전라북도 전주시 완산구 용머리로 94 3층,063-236-1388,http://www.jjsangdam.or.kr/
전북,군산시청소년상담복지센터,(54121) 전라북도 군산시 동리2길 7,063-466-1388,www.gunsan0924.or.kr
전북,익산시청소년상담복지센터,(54620) 전라북도 익산시 인북로187 상공회의소 5층,063-852-1388,iksan.go.kr>index.iksan
전북,정읍시청소년상담복지센터,(56190) 전라북도 정읍시 상동중앙로14 청소년문화체육관 3층,063-531-3000,jeongeup.go.kr
전북,남원시청소년상담복지센터,(55749) 전라북도 남원시 충정로 72 남원시청소년수련관 3층,063-635-1388,www.nw1388.com
전북,김제시청소년상담복지센터,(54368) 전라북도 김제시 도작로 224-32,063-544-1377,http://youth.gimje.go.kr
전북,완주군청소년상담복지센터,(55340) 전라북도 완주군 삼례읍 삼봉로125 완주군청소년수련관 2층,063-291-7373,http://www.wanju1388.or.kr 
전북,진안군청소년상담복지센터,(55432) 전라북도 진안군 진안읍 진무로 1054-14 청소년수련관 3층,063-433-2377,www.ja1388.com
전북,무주군청소년상담복지센터,(55514) 전라북도 전라북도 무주군 무주읍 한풍루로 326-34 3층,063-323-7717,www.mujuyouth.net
전북,장수군청소년상담복지센터,(55631) 전라북도 장수군 장수읍 신천로 81 여성청소년문화센터 1층,063-351-5161,https://www.facebook.com/%EC%9E%A5%EC%88%98%EA%B5%B0%EC%B2%AD%EC%86%8C%EB%85%84%EC%83%81%EB%8B%B4%EB%B3%B5%EC%A7%80%EC%84%BC%ED%84%B0-1605161036462040
전북,임실군청소년상담복지센터,(55927) 전라북도 임실군 임실읍 운수로 33-50 임실군청소년문화의집 2층,063-644-1388,https://cheongmoon.tistory.com/
전북,순창군청소년상담복지센터,(56047) 전라북도 순창군 순창읍 장류로 192 순창군청소년수련관 3층,063-653-4646,www.sc1388.or.kr
전북,고창군청소년상담복지센터,(56431) 전라북도 고창군 고창읍 월곡뉴타운1길 11 커뮤니티센터 1층,063-563-6792,https://www.gochang.go.kr/index.gochang?menuCd=DOM_000000104001006000
전북,부안군청소년상담복지센터,(56308) 전라북도 부안군 부안읍 동중2길 15(부안군상생협력센터 1층),063-583-8772,https://www.facebook.com/%EB%B6%80%EC%95%88%EA%B5%B0%EC%B2%AD%EC%86%8C%EB%85%84%EC%83%81%EB%8B%B4%EB%B3%B5%EC%A7%80%EC%84%BC%ED%84%B0-523538797837858
전남,전라남도청소년상담복지센터,(58614) 전라남도 목포시 용당로 304,061-280-9001,www.jnyouth.or.kr
전남,목포시청소년상담복지센터,"(58684) 전라남도 목포시 신흥로 83번길 14 복지동 2층(옥암동, 목련아파트)",061-272-2440,youth.mokpo.go.kr
전남,여수시청소년상담복지센터,(59761) 전라남도 여수시 신월로 648 전남대학교 국동캠퍼스 협동관 1층 여수시청소년상담복지센터,061-663-2000,www.ys1388.or.kr
전남,순천시청소년상담복지센터,(57992) 전라남도 순천시 명말 1길 57 3층,061-745-1388,www.sc1388dream.or.kr
전남,나주시청소년상담복지센터,"(58326) 전라남도 나주시 교육길 13, D-5동 111호~112호(스마트파크지식산업센터, 빛가람동)",061-334-1388,www.nj1388.or.kr
전남,광양시청소년상담복지센터,(57790) 전라남도 광양시 광장로 14 청소년문화센터 2층,061-795-1388,www.gy1388.or.kr
전남,담양군청소년상담복지센터,"(57344) 전라남도 담양군 담양읍 지침6길 29, 3층",061-381-1386,www.dyy1388.or.kr
전남,곡성군청소년상담복지센터,(57504) 전라남도 곡성군 곡성읍 곡성로 855,061-363-9584,http://1388.gsyouth.kr/
전남,구례군청소년상담복지센터,(57636) 전라남도 구례군 구례로 508 청소년문화의 집 2층,061-783-1388,https://www.instagram.com/y.d_gurye/?igshid=1uex1aft3n1j8
전남,고흥군청소년상담복지센터,(59535) 전라남도 고흥군 고흥읍 고흥로 1793 청소년문화의집 2층,061-834-1317~8,cafe.daum.net/HI1388/
전남,보성군청소년상담복지센터,(59453) 전라남도 보성군 보성읍 송재로 281-7 2층,061-853-1388,http://bs1388.co.kr
전남,화순군청소년상담복지센터,"(58114) 전남 화순군 화순읍 쌍춘로 118-4, 화순군청소년수련관 3층",061-375-7442,WWW.hs1388.or.kr
전남,장흥군청소년상담복지센터,(59327) 전라남도 장흥군 장흥읍 흥성로37-23 2층,061-863-1318,http://www.jh1388.or.kr
전남,강진군청소년상담복지센터,(59226) 전라남도 강진군 강진읍 청렴길 1 청소년수련관 3층,061-432-1388,www.gjyouth.co.kr
전남,해남군청소년상담복지센터,(59028) 전라남도 해남군 해남읍 수성2길 9 2층,061-537-1388,http://www.hyouth1388.co.kr/
전남,영암군청소년상담복지센터,(58418) 전라남도 영암군 영암로 1511 청소년수련관,061-471-8375,www.ya1388.or.kr
전남,무안군청소년상담복지센터,(58517) 전라남도 무안군 현경면 공항로 347-83,061-454-5284,https://www.muan.go.kr/www/information/welfare/child/youth_counsel
전남,함평군청소년상담복지센터,(57149) 전라남도 함평군 함평읍 중앙길 212,061-323-9995,www.nownow1388.or.kr
전남,영광군청소년상담복지센터,"(57047) 전라남도 영광군 영광읍 중앙로 3길 6-10,영광군청소년문화센터 2층",061-353-1388,www.yg1388.or.kr
전남,장성군청소년상담복지센터,(57222) 전라남도 장성군 장성읍 문화로 110 장성군청소년수련관 별관 1층,061-817-1388,www.js1388.or.kr
전남,완도군청소년상담복지센터,(59115) 전라남도 완도군 완도읍 개포로 159번길 41 2층,061-554-1314,http://wd1388.or.kr/
전남,진도군청소년상담복지센터,(58926) 전라남도 진도군 진도읍 진도대로 7213 청소년문화의집 3층,061-544-5122,http://cafe.naver.com/jindo1388
전남,신안군청소년상담복지센터,(58824) 전라남도 신안군 압해읍 천사로 1004,061-240-8729,http://www.shinan1388.com/
